id,valorPropiedad,direccionPropiedad,numeroHabitaciones,estrato,barrio
cf8605a3-a575-48f7-96f6-cb48952b63e9,$657455458.53,"Calle 133 # 90-4 Este Apartamento 5 151819 El Espino, Boyacá",1,6,Belen
a63a2840-4f61-4829-8116-168e72251004,$282647261.11,"Cr. 21 # 6-55 Oficina 490 976542 Yavaraté, Vaupés",2,6,Laureles
7a6adab2-4c3f-4107-9d1d-1878eaa5f954,$692864513.05,"Cr. 23C # 6-37 Sur 709310 Galeras, Sucre",5,1,Caldas
a154cf71-69ef-4429-a7f5-fa5f02000307,$80193545.51,"Cl. 40 # 6Z-7 Sur Torre 5 apartamento 2 527648 Cuaspud Carlosama, Nariño",1,2,Sabaneta
1c9abd01-db65-4232-b9c1-6d0cda17c7f6,$530087523.7,"Carrera 79 # 9-82 082388 Piojó, Atlántico",1,5,Sabaneta
5ec5af41-e8cb-4c54-8c45-f11a10763b52,$730218632.28,"Tr. 91 Sur # 55-71 Apto. 39 056697 San Pedro de Urabá, Antioquia",5,4,Sabaneta
eea13d8e-c4d2-4593-b8ea-08f47a79f3c8,$476748593.97,"Calle 18 # 17-2 Sur 688932 Vetas, Santander",3,1,Envigado
1821b842-f84e-4d13-a3a0-36153ea4529f,$713232425.24,"Transversal 94F # 9N-43 Este 411822 Rivera, Huila",3,3,Envigado
2bfce5fa-2c2f-44ca-9710-1307cc72bf4e,$254548074.0,"Cl. 1H # 1-4 Oficina 681 413150 Timaná, Huila",3,1,Laureles
d01e9533-e6e3-4bd0-809e-4044668574e0,$410930935.61,"Cr. 163 # 7-6 Sur Local 27 058299 La Pintada, Antioquia",3,3,Belen
4925c3f0-e940-47e1-9f7a-5cb5bd895f31,$816771859.61,"Carrera 36 # 2-83 Este 665133 Pueblo Rico, Risaralda",4,5,Laureles
b06032ab-a0fe-4a94-b4d0-e74f76fe5472,$974459975.78,"Carrera 30 # 5-86 Sur Apartamento 9 152677 Berbeo, Boyacá",4,1,Belen
3941b0ed-af8d-4089-a92f-78df002f664b,$837934431.04,"Carrera 9ª # 12Q-9 Bodega 33 689805 Confines, Santander",5,3,Sabaneta
38a62002-56ac-4d0f-9502-2a450b93885d,$719343244.4,"Cr. 9ª # 4-64 Apto. 21 199909 Mercaderes, Cauca",1,6,Sabaneta
81f2f425-c708-4fcf-a9f2-3bbff8b397f3,$784414923.75,"Cl. 5ª # 6-2 Oficina 371 257991 Simijaca, Cundinamarca",1,2,Laureles
7735674e-a7a6-424c-b068-52e727d28cf9,$411119913.79,"Avenida Manizales # 4-69 521241 Ospina, Nariño",4,6,Itagui
055bb17d-6e6e-49c6-baf5-be4971ff15ff,$204521392.3,"Cr. 97I Este # 28-20 Este 254005 Sesquilé, Cundinamarca",3,2,Belen
d0ccac99-0157-4a1c-8a5f-cdeb3acc0b65,$716729297.79,"Cl. 61 # 36-49 Apartamento 62 154505 Tipacoque, Boyacá",1,5,Envigado
371ded4e-9c22-44b1-8d23-de3009f3747f,$557432883.18,"Avenida David Ferney Cruz Suárez # 13-43 Sur Oficina 16 194216 Almaguer, Cauca",2,2,La Estrella
9eaeadbd-e1a2-4c61-8aa4-a7bb443f70fb,$410482669.67,"Tr. 2B # 65-7 Este 470142 Pivijay, Magdalena",5,2,Itagui
0ab3ae08-b462-446b-bf53-4e006125b188,$850709324.18,Calle 65 # 91-54 Este 810883 Arauca,1,2,Poblado
